x,l,err_fwd_rel,err_bwd_rel,err_fwd_abs,err_bwd_abs
0.90,18,2.274357355083048e-15,5.644617607418276e-01,1.942890293094024e-16,4.821965524973595e-02
0.90,19,4.288344134433152e-15,8.372032284678946e-01,1.665334536937735e-16,3.251193017856183e-02
0.90,20,5.576834169534547e-16,7.534591077833754e-02,8.326672684688674e-17,1.124976497612687e-02
0.90,21,2.463099148270061e-16,4.967937713686842e-02,5.551115123125783e-17,1.119629885486456e-02
0.90,22,6.558323635044279e-16,1.198523046417542e-01,1.665334536937735e-16,3.043371955372381e-02
0.90,23,1.078772406829728e-15,1.851803796732999e-01,2.498001805406602e-16,4.288030726603453e-02
0.90,24,2.189757911638116e-15,2.816582290327934e-01,3.608224830031759e-16,4.641089365073386e-02
0.90,25,5.480482214535449e-15,5.953452364727840e-01,3.747002708109903e-16,4.070372142450136e-02
0.90,26,9.192901519921110e-15,7.215554821629843e-01,3.469446951953614e-16,2.723186431216408e-02
0.90,27,1.885105007248163e-15,6.726492603995596e-02,2.498001805406602e-16,8.913450764932995e-03
0.90,28,5.610850035021703e-16,5.307298265896430e-02,1.110223024625157e-16,1.050159012729449e-02
0.90,29,3.749346597650713e-16,1.224002034373319e-01,8.326672684688674e-17,2.718304120511494e-02
0.90,30,1.375315684086910e-15,1.881075998993016e-01,2.775557561562891e-16,3.796244581000213e-02
0.90,31,2.921969192043545e-15,2.872190565745160e-01,4.163336342344337e-16,4.092409802631197e-02
0.90,32,7.431317217548300e-15,6.274150038001344e-01,4.232725281383409e-16,3.573626681193193e-02
0.90,33,9.141087678576061e-15,6.362809248779888e-01,3.400058012914542e-16,2.366668095927377e-02
0.90,34,1.602387384098225e-15,6.011027763143204e-02,1.942890293094024e-16,7.288354619131049e-03
0.90,35,3.101198174769938e-16,5.619508518134934e-02,5.551115123125783e-17,1.005886659335054e-02
0.90,36,1.388878575442043e-16,1.248007671270750e-01,2.775557561562891e-17,2.494038852735239e-02
0.90,37,6.144261028237591e-16,1.909265770821956e-01,1.110223024625157e-16,3.449903591584955e-02
0.90,38,1.756895610574522e-15,2.927343235219956e-01,2.220446049250313e-16,3.699711970546853e-02
0.90,39,5.577862625040362e-15,6.621823455954067e-01,2.706168622523819e-16,3.212659053299195e-02
